entry_id,vessel_id,internal_timestamp,propeller_rpm
0,NAUTILUS_01,1711000000.0,803.2345014130881
1,NAUTILUS_01,1711000001.2503126,801.4396239319128
2,NAUTILUS_01,1711000002.5006251,801.2837880699674
3,NAUTILUS_01,1711000003.7509377,803.0473819855143
4,NAUTILUS_01,1711000005.0012503,800.4649727539366
5,NAUTILUS_01,1711000006.2515628,800.5746084957806
6,NAUTILUS_01,1711000007.5018754,800.6986003631866
7,NAUTILUS_01,1711000008.752188,801.6109014895542
8,NAUTILUS_01,1711000010.0025005,801.7705726823993
9,NAUTILUS_01,1711000011.252813,801.5045395844735
10,NAUTILUS_01,1711000012.5031257,803.1321574021092
11,NAUTILUS_01,1711000013.7534385,802.3737897619254
12,NAUTILUS_01,1711000015.003751,803.0670318627879
13,NAUTILUS_01,1711000016.2540636,802.3170865636707
14,NAUTILUS_01,1711000017.5043762,804.0120733547172
15,NAUTILUS_01,1711000018.7546887,802.0388006889934
16,NAUTILUS_01,1711000020.0050013,802.5854680304773
17,NAUTILUS_01,1711000021.2553139,802.23850400494
18,NAUTILUS_01,1711000022.5056264,802.8863616058921
19,NAUTILUS_01,1711000023.755939,805.3478765301352
20,NAUTILUS_01,1711000025.0062516,806.3761677148345
21,NAUTILUS_01,1711000026.2565641,804.5789924120899
22,NAUTILUS_01,1711000027.5068767,802.7285142525121
23,NAUTILUS_01,1711000028.7571893,806.4255224817766
24,NAUTILUS_01,1711000030.0075018,804.7585652829104
25,NAUTILUS_01,1711000031.2578144,805.1607426402275
26,NAUTILUS_01,1711000032.508127,800.5522080609214
27,NAUTILUS_01,1711000033.7584395,806.5749414973816
28,NAUTILUS_01,1711000035.008752,805.8963967700746
29,NAUTILUS_01,1711000036.2590647,807.0374880307581
30,NAUTILUS_01,1711000037.5093772,806.5123387692822
31,NAUTILUS_01,1711000038.7596898,808.0522450737333
32,NAUTILUS_01,1711000040.0100026,807.5629385180009
33,NAUTILUS_01,1711000041.2603152,807.4780153818077
34,NAUTILUS_01,1711000042.5106277,809.1143207475762
35,NAUTILUS_01,1711000043.7609403,806.0116680633415
36,NAUTILUS_01,1711000045.0112529,807.7331118157266
37,NAUTILUS_01,1711000046.2615654,805.8550343921233
38,NAUTILUS_01,1711000047.511878,810.1335448444734
39,NAUTILUS_01,1711000048.7621906,809.1527266267951
40,NAUTILUS_01,1711000050.0125031,816.1202230217576
41,NAUTILUS_01,1711000051.2628157,811.4283236453252
42,NAUTILUS_01,1711000052.5131283,809.2045127024265
43,NAUTILUS_01,1711000053.7634408,811.940045742825
44,NAUTILUS_01,1711000055.0137534,812.417058624806
45,NAUTILUS_01,1711000056.264066,807.8015121271922
46,NAUTILUS_01,1711000057.5143785,811.76996699194
47,NAUTILUS_01,1711000058.764691,810.7631673963941
48,NAUTILUS_01,1711000060.0150037,813.2153307668422
49,NAUTILUS_01,1711000061.2653162,813.7810889451407
50,NAUTILUS_01,1711000062.5156288,811.9339688893106
51,NAUTILUS_01,1711000063.7659414,814.116106327467
52,NAUTILUS_01,1711000065.016254,813.0809451896004
53,NAUTILUS_01,1711000066.2665668,816.421833601612
54,NAUTILUS_01,1711000067.5168793,814.5962014029134
55,NAUTILUS_01,1711000068.767192,821.1655282864865
56,NAUTILUS_01,1711000070.0175045,812.875840690874
57,NAUTILUS_01,1711000071.267817,815.0839185983083
58,NAUTILUS_01,1711000072.5181296,816.7961550913049
59,NAUTILUS_01,1711000073.7684422,815.3723833970914
60,NAUTILUS_01,1711000075.0187547,813.1881743515637
